,키워드,중요도,연관단어
0,정호영,6.2766418945880975,"['의혹', '조국', '아빠', '찬스', '청문회', '국민의힘', '논란', '달라', '후보', '자녀']"
1,해제,5.045212816750989,"['거리두기', '만에', '정호영', '검수완박', '코로나', '김오수', '검찰', '오늘부터', '전면', '마스크']"
2,거리두기,4.428061095005049,"['해제', '만에', '정호영', '검수완박', '코로나', '김오수', '검찰', '오늘부터', '전면', '마스크']"
3,만에,4.281163516562868,"['확진', '신규', '코로나', '19', '합당', '아래로', '68일', '국민의힘', '국민의', '5만명']"
4,검수완박,4.2753358530052985,"['우크라', '돈바스', '포기', '젤렌스키', '대통령', '조국', '청문회', '호소문', '결사항전', '마리우폴']"
5,후보,3.5231467776644116,"['국민의힘', '합당', '선언', '국민의', '시장', '국힘', '안철수', '경선', '정부', '이준석']"
6,코로나,3.2781151176362786,"['만에', '확진', '신규', '19', '합당', '아래로', '68일', '국민의힘', '국민의', '5만명']"
7,검찰,3.2312307352380416,"['우크라', '돈바스', '포기', '젤렌스키', '수사', '결사항전', '마리우폴', '만에', '경찰', '총장']"
8,김오수,3.180355712139857,"['사표', '면담', '합당', '국민의힘', '반려', '선언', '이은해', '조현수', '국민의', '대통령']"
9,확진,3.180178483300399,"['만에', '신규', '코로나', '19', '합당', '아래로', '68일', '국민의힘', '국민의', '5만명']"
10,국민,3.1760301998639613,"['윤석열', '하는', '당선인', '교육', '현장', '일상', '중고차', '결정', '50', '인수위']"
11,이은해,3.125525181914792,"['조현수', '살인', '계곡', '구속영장', '청구', '여행', '공개수배', '수사', '혐의', '영장']"
12,민주,3.0879301839228988,"['투자', '송하진', '자녀', '은퇴', '정계', '한다', '감사', '교육부', '검토', '청문회']"
13,종합,2.9936160817863686,"['의혹', '만에', '한동훈', '2년', '달라', '위반', '농지법', '일상', '이연복', '조현수']"
14,삼성,2.9803743499911453,"['sdi', 'lg', '과징금', '업체', '기술자료', '공정위', '거리두기', '합당', '국민의힘', '신저가']"
15,시장,2.959091553438636,"['테슬라', '머스크', '폐지', '확보', '법원', '상장', 'lg', '국힘', '김진태', '트윗은']"
16,우크라,2.7632739483537914,"['검찰', '돈바스', '포기', '젤렌스키', '수사', '결사항전', '마리우폴', '만에', '경찰', '총장']"
17,조현수,2.6950670407685755,"['이은해', '살인', '계곡', '구속영장', '청구', '여행', '공개수배', '수사', '혐의', '영장']"
18,의혹,2.636957716467311,"['정호영', '조국', '아빠', '찬스', '청문회', '국민의힘', '논란', '달라', '후보', '자녀']"
19,서울,2.5416140424026805,"['아파트', '재건축', '30', '임대주택', '구축', '날씨', '20', '규제', '합당', '거리두기']"
